"name","year","match","pass_comp","pass_att","comp_per","pass_dist","prg_dist","short_comp","short_att","short_per","med_comp","med_att","med_per","long_comp","long_att","long_per","assist","x_assist","assist_shot","third_area","yard_pass","yard_cross","prg_pass","value"
"Crysencio Summerville","2001","1.4","48","63","76.2","672","172","26","31","83.9","17","24","91.4","2","4","45.3","0","0","1","3","4","0","6","2.000.000 "
"Kiernan Dewsbury-Hall","1998","11.8","485","628","77.2","7680","1940","266","303","87.8","172","221","89.7","37","76","87.1","2","1.5","19","47","13","2","41","2.000.000 "
"James Milner","1986","7","430","530","81.1","8583","2744","159","184","86.4","197","225","87.6","67","104","64.4","1","1.4","10","56","13","2","51","2.000.000 "
"Adam Forshaw","1991","13.3","503","600","83.8","9205","2135","238","262","90.8","179","211","93.8","69","94","71","1","1.1","12","44","6","0","38","2.000.000 "
"Fernandinho","1985","6.8","446","499","89.4","8159","1953","187","205","91.2","210","224","78.2","44","62","50.3","1","0.8","8","55","15","1","38","2.000.000 "
"","1998","4.1","147","176","83.5","3168","847","48","56","85.7","66","72","91.7","30","43","69.8","0","0","0","12","0","0","7","1.000.080 "
"Lukas Rupp","1991","5.5","241","282","85.5","4137","845","118","125","94.4","91","103","88.3","25","38","65.8","0","1.2","8","14","2","1","18","1.000.080 "
"Dale Stephens","1989","1.4","44","57","77.2","835","214","16","23","69.6","21","25","84","6","7","85.7","0","0","1","2","1","0","3","1.000.050 "
"James McArthur","1987","12.9","597","712","83.8","11064","2431","248","275","90.2","256","283","90.5","75","117","82.4","2","0.9","11","53","14","5","55","1.000.050 "
"Edo Kayembe","1998","4.6","196","240","81.7","3884","878","84","93","90.3","77","91","84.6","35","49","80.3","0","0.2","4","18","0","0","20","1.000.030 "
"Aaron Lennon","1987","10.9","147","215","68.4","2233","522","88","105","83.8","46","67","87.3","10","29","54.5","0","0.3","4","6","3","1","11","1.000.000 "
"Shandon Baptiste","1998","9.4","218","265","82.3","3771","776","108","123","87.8","82","97","84.7","22","32","67.7","1","0.4","7","21","5","1","19","1.000.000 "
"Mark Noble","1987","1.4","77","90","85.6","1475","396","28","31","90.3","40","42","95.2","9","17","52.9","0","0.2","1","7","0","0","4","1.000.000 "
